исходная форма,глоссированная форма,частотность,глосса,лемма,POS,3,976
a,a,3,а,a,CCONJ,,
arə,a-rə,2,знать-cvb.neg,adaj,VERB,,
abgar,abgar,2,здоровый,abgar,ADJ,,
abla,abla,2,глупый,abla,ADJ,,
ač,ač,31,neg,eč,PART,,
ač-ta,ač=ta,2,neg=add,eč,PART,,
ačča,ačča,22,neg.pred,ečče,PART,,
"ad,snmw",adə-w,2,сколько-acc,adi,ADV,,
adəwuč,adə=wuč,2,сколько=indef,adi,ADV,,
aďin,aďin,2,первенец,ad'in,NOUN,,
adun,adun,2,иногда,adun,ADV,,
agdagal,agda-gal,3,старший.брат-pl,agda,NOUN,,
ai,ai,4,хороший,aj,ADJ,,
aič,ai-č,6,хороший-ins,aič,ADV,,
aj,aj,13,хороший,aj,ADJ,,
ajďinne,aj-ďi-nne,2,хорошо-fut-2sg,ajdaj,VERB,,
aju,aj-u,2,хороший-acc,aj,ADJ,,
ajďit,ajďit,5,правда,ajd'it,NOUN,,
ajďitta,ajďit=ta,8,правда=add,ajd'it,NOUN,,
aka,aka,7,отец,aka,NOUN,,
akuwriďi,akuw-riďi,2,ошалеть-ant.sg,akuwdaj,VERB,,
alačiddən,alači-d-də-n,2,ждать-prog-pst-3sg,alattaj,VERB,,
alačidai,alači-da-i,2,ждать-purp-poss.refl.sg,alattaj,VERB,,
aləŋoča-mu,aləŋo-ča-mu,2,дочь-dim2-poss.1sg,alaŋo,NOUN,,
allaďin,allaďin,2,аккуратно,allaďin,ADV,,
amanun,ama-nun,2,отец-com,ama,NOUN,,
amanne,amanne,3,дедушка,amanna,NOUN,,
amardalan,amar-dala-n,3,равнина-loc-poss.3sg,amar,NOUN,,
amaski,amaski,2,обратно,amaski,ADV,,
ammida,ammi=da,2,отец=add,ama,NOUN,,
amnak,amnak,11,быстро,amnak,ADV,,
amnəq,amnəq,4,скоро,amnak,ADV,,
amŋai,amŋa-i,2,рот-poss.refl.sg,amŋa,NOUN,,
amun,amun,2,метка,amun,NOUN,,
ančindulan,ančin-dula-n,15,около-loc-poss.3sg,ančin,ADP,,
ančindulatən,ančin-dula-tən,2,около-loc-poss.3pl,ančin,ADP,,
anin,anin,2,дым,anin,NOUN,,
ara,ara,5,дружище2,ara,NOUN,,
aran,aran,11,едва,aran,ADV,,
arankič,aran-kič,2,едва-elat,aran,ADV,,
arčan,arčan-∅-∅,2,выходить.на.встречу-nfut-3pl,arčandaj,VERB,,
arčanətən,arčanə-tən,2,встреча-poss.3pl,arčan,NOUN,,
ašal,aša-l,5,женщина-pl,asa,NOUN,,
asatkan,asatkan,5,девушка,asatkan,NOUN,,
asatqam,asatqa-m,4,девушка-acc,asatkan,NOUN,,
asatqan,asatqan,5,девушка,asatkan,NOUN,,
ašatqan,ašatqan,2,девушка,asatkan,NOUN,,
asi,asi,14,женщина,asi,NOUN,,
aši,aši,7,женщина,asi,NOUN,,
asum,asu-m,3,сколько-acc,asun,ADV,,
asuniru,asu-nir-u,2,сколько-indef-acc,asun,ADV,,
asukutkan,asuku=tkan,2,чуть.не=restr,asukut,ADV,,
atlan,at-la-n,2,основание-loc-poss.3sg,at,NOUN,,
attun,at-tu-n,2,основание-dat-poss.3sg,at,NOUN,,
atəkamu,atəka-mu,2,старуха-acc,atikan,NOUN,,
atəkan,atəkan,2,старуха,atikan,NOUN,,
atəllən,atəl-lə-n,2,снять-pst-3sg,ataldaj,VERB,,
atəqam,atəqa-m,2,старуха-acc,atikan,NOUN,,
atəqan,atəqan,9,старуха,atikan,NOUN,,
atəqannə,atəqan-nə,2,старуха-poss.3sg,atikan,NOUN,,
awran,aw-ra-n,2,добавлять-nfut-3sg,awdaj,VERB,,
awaski,awaski,6,куда,awaski,ADV,,
awəški,awəški,5,куда,awaski,ADV,,
awəški-da,awəški=da,3,куда=add,awaski,ADV,,
awəškiwuč,awəški=wuč,2,куда=indef,awaski,ADV,,
awgič,awgič,18,откуда,awgič,ADV,,
awšičami,awši-ča-mi,2,женская.сумка-dim2-poss.refl.sg,awsa,NOUN,,
aγdə,aγdə,3,старший.брат,agdi,NOUN,,
aγdəi,aγdə-i,4,старший.брат-poss.refl.sg,agdi,NOUN,,
baďič,baďi-č,5,ранний-ins,badič,ADV,,
baďikar,baďikar,2,утро,baďikar,NOUN,,
baďiraldə,baďira-l-də,2,ранний-pl-dat,badir,ADJ,,
baďiraldu,baďira-l-du,2,ранний-pl-dat,badir,ADJ,,
badun,badu-⊘-n,5,ехать.верхом-nfut-3sg,badudaj,VERB,,
bagullen,bagu-l-le-n,2,стучать-inch-nfut-3sg,bagudaj,VERB,,
bakra,bak-ra-∅,2,находить-nfut-3pl,baktaj,VERB,,
bakram,bak-ra-m,2,находить-nfut-1sg,baktaj,VERB,,
bakran,bak-ra-n,5,находить-nfut-3sg,baktaj,VERB,,
bakadla,baka-d-la,2,находить-prog-cvb,baktaj,VERB,,
baldun,bald-u-⊘-n,13,родиться-ad-nfut-3sg,baldadaj,VERB,,
baqčaš,baq-ča-š,2,находить-ptc.pst-2sg,baktaj,VERB,,
baqčinnə,baq-či-Ø-nnə,2,находить-res-nfut-2sg,baktaj,VERB,,
baqrin,baq-ri-n,6,находить-pst-3sg,baktaj,VERB,,
barəγrən,barəγ-rə-n,3,отвечать-pst-3sg,baragdaj,VERB,,
bargaki,bargak-i,3,враг-poss.refl.sg,bargak,NOUN,,
bargeki,barge-ki,2,другая.сторона-adv.dir,bargin,NOUN,,
bei,bei,3,человек,bej,NOUN,,
beikem,bei-ke-m,3,человек-dim-acc,bejken,NOUN,,
beiken,bei-ken,2,человек-dim1,bejken,NOUN,,
beilbə,bei-l-bə,2,человек-pl-acc,bej,NOUN,,
beilteki,bei-l-teki,3,человек-pl-dir,bej,NOUN,,
bej,bej,3,человек,bej,NOUN,,
bejďi,bej-ďi,16,человек-ins.poss.refl.sg,bej,NOUN,,
bejďide,bej-ďi=de,3,человек-ins.poss.refl.sg=add,bej,NOUN,,
bejmegen,bej-megen,5,человек-lvr,bej,NOUN,,
bekel,bekel,4,отдельный,bekel,ADJ,,
beldei,bel-de-i,3,помогать-purp-poss.refl.sg,beldej,VERB,,
belďin,bel-ďi-n,2,помочь-fut-3sg,beldej,VERB,,
beleŋo,beleŋo,2,сынок,beleŋo,NOUN,,
beltelker,beltelke-r,3,дитя-pl,belteken,NOUN,,
beripten,beri-p-te-n,4,терять-med-nfut-3sg,beriptej,VERB,,
beriptən,beri-p-tə-n,2,потерять-med-pst-3sg,beriptej,VERB,,
bəllən,bəl-lə-n,2,помогать-pst-3sg,beldej,VERB,,
bələŋo,bələŋo,3,сынок,beleŋo,NOUN,,
bərgə,bərgə,2,жирный,berge,ADJ,,
bi,bi,50,я,bi,PRON,,
bičjedun,bi-če-du-n,3,быть-ptc.pst-dat-poss.3sg,bidej,VERB,,
bičjenteken,bi-če-n=teken,2,быть-ptc.pst-poss.3sg=restr,bidej,VERB,,
biddətən,bi-d-də-tən,2,быть-prog-pst-3pl,bidej,VERB,,
bidďip,bi-d-ďi-p,2,быть-prog-fut-1pl.inc,bidej,VERB,,
bidlə,bi-d-lə,3,быть-prog-imp,bidej,VERB,,
bidmi,bi-d-mi,4,быть-prog-sim,bidej,VERB,,
bidei,bi-de-i,15,быть-purp-poss.refl.sg,bidej,VERB,,
biden,bi-de-n,5,быть-purp-3sg,bidej,VERB,,
biďenne,bi-ďe-n-ne-∅,3,быть-prog-iter-nfut-3pl,bidej,VERB,,
biďillətən,bi-ďi-l-lə-tən,2,быть-prog-inch-pst-3pl,bidej,VERB,,
biďin,bi-ďi-n,11,быть-fut-3sg,bidej,VERB,,
biďinnə,bi-ďi-nnə,3,быть-fut-2sg,bidej,VERB,,
bimči,bi-mči-⊘,7,быть-subj-3,bidej,VERB,,
bimi,bi-mi,7,быть-cond.ss,bidej,VERB,,
bimnən,bi-mnən,2,быть-prior,bidej,VERB,,
binəken,bi-nəken,7,быть-sim,bidej,VERB,,
bis,bi-s,5,быть-cvb.neg,bidej,VERB,,
bišnə,bi-š-nə,5,быть-nfut-3sg,bidej,VERB,,
bisem,bi-se-m,5,быть-nfut-1sg,bidej,VERB,,
bisennə,bi-se-nnə,4,быть-nfut-2sg,bidej,VERB,,
bišim,bi-ši-m,3,быть-pst-1sg,bidej,VERB,,
bisin,bi-si-n,6,быть-pst-3sg,bidej,VERB,,
bišin,bi-ši-n,14,быть-pst-3sg,bidej,VERB,,
bišinə,bi-ši-nə,2,быть-pst-3sg,bidej,VERB,,
bisiw,bi-si-w,2,быть-pst-1sg,bidej,VERB,,
biwette,bi-wet-te-⊘,2,быть-freq-nfut-3pl,bidej,VERB,,
biwettə,bi-wet-tə-∅,2,быть-freq-pst-3pl,bidej,VERB,,
biwettən,bi-wet-tə-n,2,быть-freq-pst-3sg,bidej,VERB,,
bi-bəďi,bi=bəďi,6,я=pejor,bi,PRON,,
bide,bi=de,4,быть=add,bidej,VERB,,
bi-de,bi=de,2,я=add,bi,PRON,,
bi-kə,bi=kə,3,я=emph,bi,PRON,,
bisi,bi=si,2,я=emph,bi,PRON,,
bileki,bilek-i,2,место.жительства-poss.refl.sg,bilek,NOUN,,
bilgedukun,bilge-duku-n,2,шея-abl-poss.3sg,bilga,NOUN,,
bilgei,bilge-i,2,шея-poss.refl.sg,bilga,NOUN,,
boŋkeče,boŋkeče,2,холм,bɵŋkeče,NOUN,,
borgesne,borge-s-ne-∅,2,разбредаться-plac-nfut-3pl,borgastaj,VERB,,
bu,bu,6,мы.inc,bu,PRON,,
bun,bu-⊘-n,3,давать-nfut-3sg,bɵdej,VERB,,
burin,bu-ri-n,2,давать-pst-3sg,bɵdej,VERB,,
budelen,budele-n,5,нога-poss.3sg,bɵdel,NOUN,,
budələn,budələ-n,2,нога-poss.3sg,bɵdel,NOUN,,
bugeski,buge-ski,4,мир-dir.adv,bug,NOUN,,
bugeren,bugeren,2,бугор,bugeren,NOUN,,
bujum,buju-m,3,дикий.олень-acc,bujun,NOUN,,
bujusmi,buju-s-mi,3,охотиться-plac-sim,bujustej,VERB,,
bukčendule,bukčen-dule,2,остров-loc,букчан,NOUN,,
bunəlteki,bunə-l-teki,3,мертвец-pl-dir,буни,NOUN,,
buŋes,buŋes,2,intj,buŋes,INTJ,,
buŋɲol,buŋɲo-l,2,тупой-pl,buŋɲo,ADJ,,
čajak,čajak,4,intj,čajak,INTJ,,
čajaq,čajaq,3,intj,čajak,INTJ,,
čakran,čak-ra-n,4,собрать-nfut-3sg,čaktaj,VERB,,
čakapta,čaka-p-ta-∅,2,собрать-med-nfut-3pl,čakaptaj,VERB,,
čaqrin,čaq-ri-n,2,собрать-pst-3sg,čaktaj,VERB,,
čaqtə,čaqtə,2,бойкий,čakti,ADJ,,
čas,čas,6,ну1,čas,PART,,
čaš,čaš,14,ну,čas,PART,,
časki,časki,12,дальше,časki,ADJ,,
čawrisnen,čawri-sne-n,4,,_,VERB,,
čjeleďi,čele-ďi,2,весь-ins.poss.refl.sg,čeled'ur,PRON,,
čeleďur,čele-ďur,11,все-ins.poss.refl.pl,čeled'ur,ADJ,,
čjeleďur,čele-ďur,6,все-ins.poss.refl.pl,čeled'ur,ADJ,,
čelewen,čele-we-n,13,все-acc-poss.3sg,čeled'ur,ADJ,,
čjelewen,čele-we-n,7,все-acc-poss.3sg,čeled'ur,ADJ,,
čidatki,čida-tki,2,другая.сторона-dir,čida,NOUN,,
čimekčan,čimekčan,2,мышь,čimakčan,NOUN,,
čirinə,čirinə,2,дьявол,čiriŋi,NOUN,,
Čiriŋe,Čiriŋe,4,Чирины,Čiriŋi,PROPN,,
Čiriŋi,Čiriŋi,8,Чирины,Čiriŋi,PROPN,,
čukačan,čukačan,7,птичка,čukačan,NOUN,,
čurgellen,čurge-l-le-n,2,капать-inch-nfut-3sg,čurgadaj,VERB,,
čurgun,čurgun,2,прямой,čurgun,ADJ,,
dabduqanďinnə,dabd-uqan-ďi-nnə,2,проигрывать-caus-fut-2sg,dabdukandaj,VERB,,
dagrit,dagrit,7,временный,dagrit,ADJ,,
dalsan,dalsan,2,сладко,dalsi,ADV,,
ďaluča,ďalu-ča,2,наесться-ptc.pst,d'aludaj,VERB,,
ďapkaďin,ďapkaďin,5,подробно,d'apkad'in,ADV,,
ďapkan,ďapkan,2,восемь,d'apkan,NUM,,
ďawrin,ďaw-ri-n,5,поймать-pst-3sg,d'awdaj,VERB,,
ďawətnəqan,ďawə-t-nəqan,3,взять-res-sim.sg,d'awdaj,VERB,,
dawsanəkan,dawsa-nəkan,2,встряхивать-sim.sg,dawsadaj,VERB,,
daγrəč,daγrəč,9,просто,dagrič,ADV,,
degelle,dege-l-le-∅,2,лететь-inch-nfut-3pl,degdej,VERB,,
degellen,dege-l-le-n,4,лететь-inch-nfut-3sg,degdej,VERB,,
desčin,desči-⊘-n,2,лежать-nfut-3sg,desčidej,VERB,,
desčir,desči-r,2,лежать-ptc.nfut,desčidej,VERB,,
detleďi,detle-ďi,2,крыло-ins.poss.refl.sg,detle,NOUN,,
dəlďi,dəl-ďi,2,голова-ins.poss.refl.sg,dil,NOUN,,
dələ,dəl-ə,3,голова-poss.refl.sg,dil,NOUN,,
dəlur,dəl-ur,3,голова-poss.refl.pl,dil,NOUN,,
dəlenďan,dəle-nďa-n,2,голова-aug.amlr-poss.3sg,dil,NOUN,,
dənmek,dən-mek,2,величина-restr,din,NOUN,,
dərem,dərem,2,толстый,diram,ADJ,,
ďimšin,ďi-m-ši-n,2,есть-desid-ptc.nfut-poss.3sg,d'ebdej,INTJ,,
ďisčin,ďisčin,3,достаточно,d'isčin,ADV,,
dolan,do-la-n,11,нутро-loc-poss.3sg,do,NOUN,,
doləwur,do-lə-wur,3,нутро-prol-poss.refl.pl,do,NOUN,,
doldən,dol-də-n,2,слышать-pst-3sg,doldadaj,VERB,,
ďoleč,ďol-eč,2,камень-ins,d'ol,NOUN,,
dolbe,dolbe,2,ночь,dolba,NOUN,,
dolbə,dolbə,4,ночь,dolba,NOUN,,
dolbənon,dolbə-no-n,2,ночь-acc-poss.3sg,dolba,NOUN,,
dolden,dolde-⊘-n,6,слышать-nfut-3sg,doldadaj,VERB,,
dolder,dolde-r,4,слышать-cvb.neg,doldadaj,VERB,,
doldər,doldə-r,2,слышать-cvb.neg,doldadaj,VERB,,
doldərin,doldə-ri-n,6,слышать-pst-3sg,doldadaj,VERB,,
doldəriwu,doldə-ri-wu,2,слышать-pst-1sg,doldadaj,VERB,,
ďormirin,ďormi-ri-n,5,красть-pst-3sg,d'ormidaj,VERB,,
ďu,ďu,8,дом,d'u,NOUN,,
ďučantəkiwu,ďu-čan-təki-wu,2,дом-dim2-dir-poss.1sg,d'u,NOUN,,
ďudut,ďu-du-t,2,дом-dat-poss.1pl.inc,d'u,NOUN,,
ďuduki,ďu-duk-i,4,дом-abl-poss.refl.sg,d'u,NOUN,,
ďulle,ďu-l-le,8,дом-pl-loc,d'u,NOUN,,
ďula,ďu-la,7,дом-loc,d'u,NOUN,,
ďulai,ďu-la-i,2,дом-loc-poss.refl.sg,d'u,NOUN,,
ďulan,ďu-la-n,2,дом-loc-poss.3sg,d'u,NOUN,,
ďumŋel,ďu-mŋe-l,2,дом-ag.prof-pl,d'u,NOUN,,
ďuqaqan,ďu-qaqan,2,дом-dim3,d'u,NOUN,,
ďutki,ďu-tki,5,дом-dir,d'u,NOUN,,
ďutkii,ďu-tki-i,13,дом-dir-poss.refl.sg,ďu,NOUN,,
ďutkin,ďu-tki-n,2,дом-dir-poss.3sg,d'u,NOUN,,
ďutkiwur,ďu-tki-wur,2,дом-dir-poss.refl.pl,d'u,NOUN,,
ďuwan,ďu-w-an,2,дом-acc-poss.3sg,d'u,NOUN,,
ďugennon,ďugen-no-n,2,лето-acc-poss.3sg,d'uguni,NOUN,,
ďugula,ďugu-la,2,цель-adj.negposs,d'ugu,NOUN,,
ďugule,ďugu-le,2,дело-loc,d'ugu,NOUN,,
ďuldedun,ďulde-du-n,3,перед-dat-poss.3sg,d'ulde,ADP,,
ďuldelen,ďulde-le-n,4,перед-loc-poss.3sg,d'ulde,ADP,,
ďuləpki,ďuləpki,6,вперёд,d'ulepki,ADV,,
ďur,ďur,2,два,d'ɵr,NUM,,
eče,e-če,2,neg.aux-ptc.pst,edej,VERB,,
ečis,e-či-s,2,neg.aux-pst-2sg,edej,VERB,,
ečiwu,e-či-wu,3,neg.aux-pst-1sg,edej,VERB,,
edei,e-de-i,10,neg.aux-purp-poss.refl.sg,edej,VERB,,
eden,e-de-n,11,neg.aux-purp-3sg,edej,VERB,,
edes,e-de-s,2,neg.aux-nfut-2sg,edej,VERB,,
edeten,e-de-ten,2,neg.aux-nfut-3pl,edej,VERB,,
edetən,e-de-tən,2,neg.aux-nfut-3pl,edej,VERB,,
edən,e-də-n,2,neg.aux-purp-poss.3sg,edej,VERB,,
eďi,e-ďi,18,neg.aux-imp.2sg,edej,VERB,,
edlei,e-dle-i,7,neg.aux-neg.term-poss.refl.sg,edej,VERB,,
edŋewu,e-dŋe-wu,2,neg.aux-ptc.fut-1sg,edej,VERB,,
edu,e-du,5,dem.prox-dat,erek,ADV,,
edut,e-du=t,3,dem.prox-dat=foc,erek,ADV,,
e-e,e-e,2,intj,e,INTJ,,
ele,e-le,15,dem.prox-loc,erek,ADV,,
emi,e-mi,2,neg.aux-cond.ss,edej,VERB,,
enəken,e-nəken,4,neg.aux-sim,edej,VERB,,
esnə,e-s-nə,13,neg.aux-nfut-3sg,edej,VERB,,
esnəde,e-s-nə=de,4,neg.aux-nfut-3sg=add,edej,VERB,,
esem,e-se-m,2,neg.aux-nfut-1sg,edej,VERB,,
esen,e-se-n,3,neg.aux-nfut-3sg,edej,VERB,,
eten,e-t-te-n,8,neg.aux-prog-nfut-3sg,edej,VERB,,
etem,e-te-m,3,neg.aux-nfut-3sg,edej,VERB,,
etende,e-te-n=de,2,neg.aux-nfut-3sg=add,edej,VERB,,
ebďendə,ebďen-də,4,веселье-adj.rel,ebd'endi,ADJ,,
eč,eč,2,neg,eč,PART,,
ečin,ečin,4,этак,ečin,ADV,,
edendule,eden-dule,2,ветер-loc,eden,NOUN,,
eg,eg,2,intj,eg,INTJ,,
egďemkər,egďe-mkər,4,большой-aug.spr,egd'emker,ADJ,,
egdes,egde-s,3,рваться-adv,egdedej,VERB,,
egnekle,egnek-le,2,перевал-loc,egnek,NOUN,,
ejdelen,ej-dele-n,2,поверхность-loc-poss.3sg,oj,NOUN,,
ejdu,ej=du,3,все=quant,ejdu,ADJ,,
ejedukun,eje-duk-un,2,верхушка-abl-poss.3sg,eje,ADP,,
ejelen,eje-le-n,6,вершина-loc-poss.3sg,eje,ADP,,
ejumkusnen,ejumku-sne-⊘-n,2,легчать-mom-nfut-3sg,ejumkusnedej,VERB,,
ek,ek,2,dem.prox,erek,ADV,,
ekič,ekič,8,невозможно,ekič,ADV,,
elbək,elbək,3,полог,elbek,NOUN,,
eldur-de,eldur=de,2,к.счастью=add,eldur,ADV,,
eleken,eleken,8,достаточный,eleken,ADJ,,
elekes,elekes,12,сперва,elekes,ADV,,
elen,elen,3,бравый,elen,ADJ,,
eləŋen,eləŋe-⊘-n,2,спешить-nfut-3sg,eliŋdej,VERB,,
eləwen,eləwen,2,истинный,eliwun,ADJ,,
eləwnen,eləw=nen,3,истинный=emph,eliwun,ADJ,,
elgesnen,elge-sne-⊘-n,2,увести-mom-nfut-3sg,elgesnedej,VERB,,
elgum,elgu-m,2,упряжь-acc,elgun,NOUN,,
elgun,elgun,2,упряжь,elgun,NOUN,,
eluru,elur-u,2,могучий-acc,elur,ADJ,,
em,em,3,intj,em,INTJ,,
emmotən,em-mo-tə-n,2,приходить-freq-pst-3sg,emmottej,VERB,,
emmottən,em-mot-tə-n,2,приходить-freq-pst-3sg,emmottej,VERB,,
emne,em-ne,2,приходить-cvb.neg,emdej,VERB,,
emnen,em-ne-n,5,приходить-nfut-3sg,emdej,VERB,,
emnən,em-nə-n,7,приходить-pst-3sg,emdej,VERB,,
emnəš,em-nə-š,2,приходить-pst-2sg,emdej,VERB,,
emnətən,em-nə-tən,5,приходить-pst-3pl,emdej,VERB,,
emnəwu,em-nə-wu,5,приходить-pst-1sg,emdej,VERB,,
emulə,em-u-lə,2,приходить-ad-imp.2sg,emudej,VERB,,
emdeďi,emde-ďi,3,внутренность-ins.poss.refl.sg,emde,ADP,,
emebtən,eme-b-tə-n,2,приходить-med-pst-3sg,emebdej,VERB,,
emedden,eme-d-de-n,2,приходить-prg-nfut-3sg,emdej,VERB,,
emenən,eme-nə-n,3,оставлять-pst-3sg,emendej,VERB,,
emurin,emu-ri-n,2,принести-pst-3sg,emudej,VERB,,
emuwettən,emu-wet-tə-n,3,принести-freq-pst-3sg,emuwettej,VERB,,
enelu,enelu,2,больно,enelu,INTJ,,
eninne,eninne,4,старушка,eninne,NOUN,,
eninnečil,eninne-čil,2,старушка-com.anim,eninne,NOUN,,
entekeje,ente-keje,5,очень-aug,entekeje,ADV,,
entukuken,entuku-ken,5,тихий-dim,entukun,ADJ,,
eŋennə,eŋe-n-nə,3,выглядывать-nfut-3sg,eŋendej,VERB,,
eŋi,eŋi,3,сила,eŋi,NOUN,,
eŋile,eŋi-le,2,сила-adj.negposs,eŋi,NOUN,,
eŋklu,eŋklu,2,intj,eŋklu,INTJ,,
eŋnəde,eŋnəde,3,,_,,,
eŋullen,eŋu-l-le-n,2,ужас-inch-nfut-3sg,eŋundej,NOUN,,
